Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Exports of goods and services (BoP, current US$)",52641000000,52506000000,59215656460,58471717730,54663616699,63954832537,66905074509,69343987644,82856456760,1.08184E+11,1.33711E+11,1.56088E+11,1.83278E+11,2.27099E+11,1.79612E+11,2.31859E+11,2.92369E+11,2.8078E+11,2.7944E+11,2.63904E+11,2.23686E+11,2.17519E+11,2.52458E+11,2.74903E+11
"ICT service exports (BoP, current US$)",79000000,231000000,24502000,159104000,19951000,35031000,260731000,167293000,468522000,285660000,319362000,291148000,419438000,640648000,537906100,611184383.7,523449062.3,731699235.3,707884610.1,1446455332,1571479659,1803756100,2186198176,2617476710
"Net secondary income (BoP, current US$)",3621000000,2441000000,1822910607,1457993730,1689397000,1521065000,1637524000,2389815000,2866589000,3236348735,3557768431,4306333185,4028989566,4223866471,3337512200,2895971485,2984297477,2837910324,3682945025,2724950193,2751204157,3125773154,2135464181,-15020890.61
"Net errors and omissions (BoP, current US$)",1796000000,-1607000000,-3470995591,-4312419112,230231513.8,2837183963,-567904319.6,-94765333.73,-703836760.1,-1859545677,-990046766.4,-154007017.4,-3170299551,1977006815,-162324427,8822587292,-4479522714,554345370.9,845440583.5,4591676271,-2318819068,8108994788,4578938117,-1321767872
"Net financial account (BoP, current US$)",-16340000000,-24816000000,-34011648702,-38048635798,-25525404535,-21995634346,-24181218087,-8157938702,2966588888,9019980020,13040343628,13114704761,-2496349863,-28806267493,-26353965210,-70172321261,-80711555860,-83669344534,-78822658951,-96856111697,-56646760541,-16092478804,-17074977856,-52338862796
"Secondary income, other sectors, payments (BoP, current US$)",161000000,180000000,239018000,257436000,198943000,233079000,231895000,178892000,197111000,223689000,353085000,420655000,813450000,983276000,1127773600,1546724954,1525918318,1400309469,1701305060,1964460606,1664893496,1674605307,2502220772,4371162470
"Transport services (% of service imports, BoP)",42.55319149,32.64134623,29.69924527,27.44153886,31.3903471,26.95749913,26.79904187,25.17833814,23.23474533,27.15798992,21.96936129,23.63934018,23.73645157,22.75271685,17.44982902,18.32089683,18.69864712,17.64122583,17.67823688,16.60416679,15.13546154,13.93005197,15.30825666,17.14283419
"Goods imports (BoP, current US$)",49663000000,53301000000,60537962059,58672860908,50259540356,56976350170,56569020182,48274763553,49307163152,63813636668,74692215554,92531096870,1.22042E+11,1.74707E+11,1.28735E+11,1.82839E+11,2.27878E+11,2.25074E+11,2.41142E+11,2.3071E+11,1.72469E+11,1.39723E+11,1.60675E+11,1.96147E+11
"Communications, computer, etc. (% of service imports, BoP)",23.3382245,29.90485177,28.08697997,32.45047824,39.17794118,42.49884813,47.09333402,48.57375744,52.49395321,48.34154129,51.46308176,49.80752603,47.45097923,47.14047167,51.17762706,50.50864443,48.76402139,50.42525291,49.16707496,51.62777321,57.04547069,59.88068891,55.66578783,54.61874136
Livestock production index (2014-2016 = 100),49.35,52.72,52.89,53.79,58.4,61,63.21,67.29,70.14,75.38,77.62,80.83,84.45,87.1,86.82,90.66,92.7,94.29,97.98,99.94,100.23,99.83,102.88,105.08
"Agricultural machinery, tractors per 100 sq. km of arable land",185.90043,186.310153,183.4922341,180.7477311,178.0738116,175.4677874,172.9273221,170.4495515,168.0323873,165.6736326,163.3711957,161.1099072,,,,,,,,,,,,
Average precipitation in depth (mm per year),1782,1782,1761,1782,1782,1782,1782,1761,1782,1782,1782,1782,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761
Land area where elevation is below 5 meters (% of total land area),,,,,,0.854755124,,,,,,,,,,,,,,,0.854755124,,,
Rural land area where elevation is below 5 meters (sq. km),,,,,,70765.70725,,,,,,,,,,,,,,,70563.65052,,,
Arable land (hectares per person),0.260299756,0.259821415,0.259376174,0.258968959,0.25864293,0.258412684,0.258259998,0.258216179,0.258332073,0.258528973,0.258745663,0.259050012,0.259655845,0.260333196,0.261066419,0.261798247,0.262516945,0.263279346,0.264086523,0.264892818,0.265697534,0.266557636,0.267437283,0.265322854
Fertilizer consumption (kilograms per hectare of arable land),98.81587294,116.3653222,133.5841892,132.096898,130.814379,144.5168104,148.5714286,164.9112959,188.7633426,229.8192818,174.3133946,184.5780106,233.1424107,214.677601,148.4863843,202.7967653,251.4273191,230.132479,265.5677821,285.0605357,234.9650836,240.1819509,275.9339023,293.8647622
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",16.87999916,19,21.52000046,25.20999908,26.29999924,,25.07999992,26.01000023,27.31999969,25.84000015,27.5,25.62000084,24.65999985,23.23999977,25.86000061,,22,19.72999954,19.28000069,18.80999947,23.55999947,30.86000061,33.02000046,32.18000031
"Part time employment, male (% of total male employment)",,,,,,,,,,,,,,,,,,19.27000046,18.13999939,17.87000084,18.40999985,17.98999977,19.89999962,21.12999916
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",69.30999756,68.66999817,70.23000336,70.23000336,70.91999817,,70.97000122,71.81999969,71.88999939,72.05000305,73.40000153,72.16000366,72.25,71.63999939,72.09999847,,69.25,78.63999939,78.62999725,78.27999878,72.40000153,65.69000244,66.48000336,66.05000305
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",83.94000244,81.66999817,82.41999817,81.88999939,81.79000092,,80.77999878,80.91999817,80.5,80.63999939,80.75,80.41000366,79.80999756,79.76999664,79.66000366,,77.68000031,75.87999725,75.79000092,75.41999817,75.33000183,75.22000122,74.91000366,74.70999908
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",50.22999954,49,50.04000092,50.77000046,52.06000137,,54.38999939,55.90999985,56.02000046,56.95000076,58.11000061,57.83000183,57.58000183,57.20999908,57.70999908,,54.68999863,52.47000122,52.45000076,52.38000107,53.02999878,53.27999878,54.15000153,54.43000031
Labor force with advanced education (% of total working-age population with advanced education),86.69000244,85.79000092,86.30000305,85.75,84.83999634,,84.23000336,84.83999634,84.23000336,83.88999939,84.54000092,84.30000305,84.36000061,83.95999908,84.33000183,,82.95999908,81.68000031,81.48000336,82.87999725,82.97000122,83.19999695,83.18000031,82.90000153
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",84.59,82.78,83.29,82.78,82.67,82.09,81.52,81.71,81.45,81.98,82.19,81.59,81.5,81.65,81.7,81.05,80.39,81,81.01,80.74,80.64,80.35,80.09,79.97
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",76.64700317,72.8809967,73.88300323,73.18599701,72.9489975,71.89099884,70.8710022,71.66999817,71.0719986,71.62599945,72.82900238,71.3219986,70.54199982,70.18000031,69.44799805,67.31500244,65.11100006,65.38600159,64.15000153,62.96500015,62.57600021,61.97800064,62.38299942,62.54199982
"Children in employment, total (% of children ages 7-14)",,,,,,,,,,7,,,6.1,5.2,5,,4.2,,3.215266,3.532649033,2.54,,,
"Average working hours of children, working only, male, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,32.5,,29.63828,30.65939502,30,,,
"Average working hours of children, study and work, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,18.8,,16.99434,16.10477447,14.77,,,
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,18.2,,16.15627,14.96040439,13.04,,,
"Employment in services, male (% of male employment) (modeled ILO estimate)",49.18999863,50.04999924,50.29000092,51.00999832,51.34999847,52.09999847,52.77999878,51.79999924,52.18999863,51.22000122,51.59000015,52.47000122,52.54999924,52.43000031,53.11999893,53.91999817,54.68000031,54.20999908,54.36999893,55.24000168,56.27999878,57.75,59.02000046,59.84000015
"Child employment in services, female (% of female economically active children ages 7-14)",,,,,,,,,,40.8,,,,47.8,53.95,,50,,47.46,50.25783552,46.26,,,
Child employment in manufacturing (% of economically active children ages 7-14),,,,,,,,,,,,,8.7,7.6,6.91,,7.06,,6.7,6.759255079,8.36,,,
"Employment in industry, male (% of male employment) (modeled ILO estimate)",27.61000061,27.71999931,27.87999916,28.04000092,27.06999969,27.14999962,27.17000008,28.20000076,27.29999924,27.5,27.93000031,28.10000038,28.94000053,29.95000076,29.31999969,29.47999954,29.5,30.37000084,30.54999924,30.73999977,29.77000046,28.20000076,27.70000076,27.09000015
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",5.159999847,4.889999866,4.699999809,4.630000114,4.860000134,4.340000153,4.039999962,3.970000029,3.970000029,4.070000172,3.720000029,3.329999924,3.269999981,2.559999943,2.460000038,1.99000001,1.659999967,1.870000005,1.799999952,1.649999976,1.659999967,1.399999976,1.470000029,1.5
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,58.27,,57.88,63.21844212,61.51,,,
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",33.10999966,32.0800004,32.42999887,32.55999994,33.13999987,32.62999964,32.4199996,32.53000069,32.65999985,32.19000053,32.13999987,31.13000059,30.71000099,28.92999935,28.63000083,28.20999932,28.01999974,25.89999938,26.01999927,25.88999939,26.92000055,27.38000011,27.58000088,27.89999962
"Employment to population ratio, 15+, total (%) (national estimate)",61.75,59.52000046,59.72999954,59.08000183,58.99000168,,59.90000153,60.68000031,60.18999863,61.40999985,61.68999863,61.99000168,61.91999817,62.40999985,61.79000092,,60.70000076,59.15999985,59.22000122,59.22000122,58.36000061,56.47999954,55.97000122,56.31000137
"Employment to population ratio, 15+, female (%) (national estimate)",45.70000076,43.79000092,44.02000046,43.86999893,44.47000122,,46.95000076,48.29999924,48.06999969,49.40000153,50.04000092,50.49000168,50.43999863,50.81999969,50.45000076,,49.02999878,47.63000107,47.75,48.02999878,47.56999969,46.04000092,46.11000061,46.59000015
"Self-employed, female (% of female employment) (modeled ILO estimate)",34.24000168,31.76000023,32.40999985,32.36999893,32.79999924,33.38999939,34.08000183,34.70999908,34.36999893,33.93000031,34.68999863,33.49000168,32.25,31.39999962,30.29999924,28.71999931,27.38999939,24.5,24.62000084,24.20000076,25.07999992,25.39999962,26.40999985,27.04000092
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",54.39500046,51.46900177,50.88299942,49.19200134,48.70899963,48.90100098,48.45000076,49.29999924,48.48199844,50.0929985,50.40399933,50.23600006,50.68999863,51.06200027,49.29499817,48.99599838,47.72600174,48.06700134,47.18099976,46.57799911,44.23600006,40.43399811,39.95000076,40.38299942
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",40.47399902,38.54199982,37.69200134,36.27999878,36.5929985,37.3730011,37.50999832,38.74900055,37.88100052,39.64500046,40.03499985,40.05699921,40.87400055,41.20600128,39.52799988,39.59899902,38.69200134,38.94400024,38.29199982,38.12599945,35.92499924,33.1629982,33.0019989,33.47900009
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",9.489999771,8.260000229,8.350000381,8.220000267,8.68999958,9.699999809,10.86999989,11.35000038,10.98999977,11.09000015,11.09000015,10.18000031,9.220000267,8.460000038,7.590000153,7,6.449999809,5.880000114,5.639999866,5.179999828,5.019999981,4.730000019,4.260000229,4.139999866
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),,,,,,,,,,,,,,,,,11.12235042,5.882585531,5.94,5.255172298,7.402478619,5.729761047,4.642152414,6.471553445
Poverty headcount ratio at national poverty lines (% of population),,,,,,,,,,,,,,,,,,,,,,,,
"Multidimensional poverty headcount ratio, household (% of total households)",,,,,,,,,,,,,,,,,,,,,,,,
Multidimensional poverty headcount ratio (% of total population),,,,,,,,,,,,,,,,,,,,,,,,
Poverty gap at $2.15 a day (2017 PPP) (%),6,6.8,6.7,5.9,6.1,,5.2,4.4,4.9,4.2,3.7,3.1,3.2,2.5,2.4,,2.2,1.7,1.3,1.1,1.3,1.7,2,2
Proportion of people living below 50 percent of median income (%),25.6,26.2,25.3,25,25.2,,25.9,25.3,25.3,24.5,24.3,23.6,24.2,23.5,23.4,,23.1,22.8,22.5,22.2,22.5,23,23.1,23.5
Income share held by third 20%,10.1,10,10,10,10.3,,10.5,10.5,10.7,11,11.1,11.2,11.6,11.8,11.9,,12.2,12,12.2,12.3,12.4,12.1,12.1,12
Domestic private health expenditure (% of current health expenditure),,,,,,58.0462532,58.62711716,57.29716492,56.9462471,56.79906082,58.30109787,56.96648407,57.43232346,56.20293045,55.68764877,54.73280716,55.16176224,56.51361847,55.41260147,55.80924606,56.66340637,56.86286545,58.19538116,58.82275772
"Domestic general government health expenditure per capita, PPP (current international $)",,,,,,314.4227155,325.3294338,352.7126221,341.6111096,362.1320564,367.6083273,412.2945822,437.3182077,466.5349624,491.9419129,511.4968823,521.2403159,504.7478001,553.5774036,581.4082332,568.2157799,562.8956639,574.1792955,591.2157183
Domestic general government health expenditure (% of current health expenditure),,,,,,41.63555527,41.08930588,42.38710403,42.85684204,42.67026901,41.6314621,42.92739487,42.48596573,43.74353027,44.16326523,45.02125549,44.49915695,43.36180878,44.51945877,44.05274582,43.25646591,43.06282806,41.73838043,41.09182358
"Current health expenditure per capita, PPP (current international $)",,,,,,755.1784058,791.7617798,832.1224365,797.0981445,848.675293,883.0060425,960.4464111,1029.323975,1066.523438,1113.916504,1136.123169,1171.348755,1164.03772,1243.450439,1319.800171,1313.59729,1307.14978,1375.662476,1438.767334
UHC service coverage index,,,,,,68,,,,,72,,,,,74,,,,,75,,75,
Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),,,,,,,,,,,,,,2.780089378,,,,,,,,,,
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),,,,,,,,,,,,,,0.735866427,,,,,,,,,,
"Prevalence of severe wasting, weight for height (% of children under 5)",,1,,,,,,,,,,,0.4,,,,,,,,,,,
"Prevalence of wasting, weight for height, male (% of children under 5)",,3.1,,,,,,,,,,,2,,,,,,,,,,,
"Suicide mortality rate (per 100,000 population)",,,,,,4,4.4,4.4,4.3,4.4,4.7,4.7,4.9,5.1,5.1,5,5.2,5.4,5.6,5.6,5.9,6,6.6,7
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",,,,,,9.8,9.1,8.6,8.1,7.8,7.5,7.3,7.1,6.9,6.7,6.6,6.4,6.3,6.2,6.1,6.1,6.1,6.1,6.1
"People using safely managed sanitation services, urban (% of urban population)",,,,,,39.03270229,39.34517233,39.65808999,39.97145529,40.2852682,40.59952875,40.91423692,41.22939271,41.54499613,41.86104718,42.17754585,42.49449214,43.36075687,44.24426671,45.14505931,46.06317235,46.99864347,47.95151032,48.92181056
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2
"Prevalence of overweight, weight for height, female (% of children under 5)",,5.3,,,,,,,,,,,6.8,,,,,,,,,,,
"People practicing open defecation, urban (% of urban population)",,,,,,2.979342595,2.817706109,2.656069622,2.494433135,2.332796649,2.171160162,2.009523676,1.847887189,1.686250702,1.524614216,1.362977729,1.201341243,1.039704756,0.87806827,0.716431783,0.554795296,0.39315881,0.231522323,0.069885837
"Prevalence of underweight, weight for age (% of children under 5)",,4.5,,,,,,,,,,,2.2,,,,,,,,,,,
"People with basic handwashing facilities including soap and water, urban (% of urban population)",,,,,,,,,,,,,,,,,,,,,,,,
Customs and other import duties (current LCU),,,,,,,,,,,,,,,,21039119676,26611248116,31035353728,36832294909,36610917484,38870019038,31308345298,32284349715,40575298791
Taxes on exports (% of tax revenue),,,,,,,,,,,,,,,,0.007923262,0.00642792,0.013561271,0.019399479,0.020796212,0.012156102,0.01620251,0.007345021,0.013191239
Social contributions (% of revenue),,,,,,,,,,,,,,,,31.55295779,31.8870127,31.44125682,32.25615769,33.78234279,31.61805641,31.28068795,33.87209423,32.29427477
Net lending (+) / net borrowing (-) (% of GDP),,,,,,,,,,,,,,,,-2.028720458,-2.257531774,-1.16782172,-2.325194388,-4.827835876,-7.5663253,-6.649830925,-8.139166648,-6.699317808
"Net incurrence of liabilities, total (% of GDP)",,,,,,,,,,,,,,,,6.529152808,4.557052637,5.662359262,2.89291027,5.427308218,9.062946013,8.514496964,8.389397967,6.046991646
Net acquisition of financial assets (% of GDP),,,,,,,,,,,,,,,,4.908911908,2.101361224,3.816370072,0.243483684,0.336135648,-0.013164172,0.830665923,0.730497407,-1.033714567
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",,,,,,,,,,,,,,,,,36.34,,,52.55,,,46.67,
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",,,,,,,,,,,,,,,,,61.1,,,71.69,,,72.85,
Domestic credit to private sector (% of GDP),43.49452482,40.77849368,40.85223717,29.53226057,29.8269102,31.14098578,29.00403802,29.64514194,27.68566994,29.37277026,31.83978416,35.42516667,40.69093794,45.78225599,47.49428984,52.76465763,58.0784911,62.5192932,64.23057382,66.02851039,66.82970064,62.19400697,59.4843093,60.21834794
"Risk premium on lending (lending rate minus treasury bill rate, %)",,,53.40079513,57.79666667,54.05708333,38.32416667,37.55916667,43.44416667,44.97833756,37.788,36.62375,36.43158333,32.21588333,33.56608571,34.94774167,29.06083333,32.2209,28.56923333,18.40215833,20.46808333,29.79838333,38.63789167,37.85921667,31.77403333
Deposit interest rate (%),52.24648521,26.44843341,24.35064632,28.00333333,26.0225,17.19916667,17.85666667,19.14272791,21.97069048,15.41615097,17.62874767,13.93240267,10.57725257,11.65533226,9.278831768,8.870439317,10.99236482,7.907466502,7.807103787,10.0236351,12.62245884,12.44576438,8.513533199,6.872158913
Broad money growth (annual %),44.30215492,31.03490423,17.24332067,12.01934813,18.1153445,19.70463724,38.40780807,6.143616107,18.58424658,13.56683041,18.35230376,16.75810284,22.01997379,17.88245818,15.69467992,13.71888687,16.5779268,13.20689898,10.13768984,12.91188705,11.55896755,11.39080224,4.190150913,7.104205464
Claims on private sector (annual growth as % of broad money),40.49649821,18.1121565,13.45526441,-26.40579577,7.20712284,10.51811135,1.47342565,7.742088179,4.185209635,10.23789645,10.52405401,12.44540552,16.62424852,17.03839728,7.265479795,18.4277489,17.03793276,13.93200335,10.88684119,9.332558717,4.039638962,-2.041868725,0.309087782,4.90259178
Claims on other sectors of the domestic economy (annual growth as % of broad money),,,,,,,,6.856839901,3.983446868,10.0491385,13.61456734,17.50886685,21.41437956,19.75881009,7.791488078,21.11813047,19.10390935,16.16800051,12.88993704,11.94084331,6.38423945,-2.490847261,-3.13788758,3.306062895
Total reserves (% of total external debt),32.20739798,33.08834868,26.23803579,18.38325825,14.82664435,13.61389956,15.59683841,16.31088417,20.89682854,23.98568285,28.5612586,44.17989077,75.62919605,73.69386983,84.69323653,81.89664251,87.12130079,84.71370246,74.17626295,65.28235059,65.59932178,67.18438705,68.86837829,67.18327075
"Depositors with commercial banks (per 1,000 adults)",,,,,,,,,,380.1511545,418.7484916,431.9051504,441.7857418,469.4013939,477.8803382,534.6053599,617.7544278,643.586893,624.4821416,618.8823614,586.1478163,577.1412647,657.8004975,665.092644
"Automated teller machines (ATMs) (per 100,000 adults)",,,,,,,,,,105.0734827,108.5765633,107.1552609,109.339067,111.8403862,114.3882902,118.0587881,116.3053834,115.361071,118.4366018,117.9346659,114.9724919,112.0997509,107.871672,106.5474879
Terrestrial protected areas (% of total land area),,,,,,,,,,,,,,,,,,,,,,28.94,29.41966767,29.41966767
"Annual freshwater withdrawals, total (billion cubic meters)",52.66666667,54.83,55.15,55.47,55.79,56.11,56.43,56.75,57.07,57.39,57.71,58.03,62.22,66.401,70.585875,74.77075,72.315625,69.8605,67.405375,65.022,63.86,66.31,65.68,64.61
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,60.92582468,60.25910491,59.60007206,58.94859395,58.30454141,57.66778821,57.03821095,56.41568902,55.80010448,55.19134199,54.58928879,56.21586894,57.63732129,58.89014723,60.00267272,58.70751589,57.32160732,55.83506224,54.23650623,54.0269665,60.86563113,60.03349574,58.13593436
Aquaculture production (metric tons),46202,77690,87676,103915,140657,172450,205568,247678,273268,269699,257784,271697,289048,331553,365127,411777,436084,480880,477634.46,564221.57,578372.92,542982.01,565196.44,581637.72
Population in urban agglomerations of more than 1 million,60273091,61628446,63016243,64443291,65908874,67416308,68470227,69497900,70542870,71606933,72686000,73784829,74902779,76042843,77199178,78376893,79503661,80643439,81798312,82973348,84167308,85382211,86613355,87864411
Population living in areas where elevation is below 5 meters (% of total population),,,,,,2.073857491,,,,,,,,,,,,,,,2.233023911,,,
"Mammal species, threatened",,,,,,,,,,,,,,,,,,,,,,,,80
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",5.985420692,5.785728807,6.084344222,5.255377338,5.231726506,4.85443536,5.212968849,5.101287899,5.225718194,4.919779191,4.847020934,4.827564245,4.881082393,5.148179022,5.360996362,4.906485305,4.530403758,4.348237969,4.072408216,4.046048485,,,,
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,,,,,,,,,,,,,0.482451028,,,,,,,,,
SF6 gas emissions (thousand metric tons of CO2 equivalent),,,,,,758.7,,,,,1202,,,1397.3,,1532,,,,,,,,
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",3.314287578,,,,,3.547533849,,,,,3.81539843,,,,,4.022281755,3.983276182,3.900218901,3.433091244,2.499098162,2.322872173,1.980922092,2.020225962,
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),120050,113010,116340,123650,124030,123930,129860,140220,145710,156220,155130,152980,158620,152420,148640,166180,165610,166610,167210,174020,171370,175480,183640,178490
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),108850,102650,106080,111120,111380,111120,117980,126750,132430,140380,140040,137220,148830,142230,138840,155440,154660,155230,155300,161680,159060,163240,171100,166030
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),10450,11100,11750,12640,13380,14440,14820,16290,17010,17850,19140,19550,19650,20940,20280,21780,22160,23220,23880,25680,26340,25840,26730,26220
Total greenhouse gas emissions (% change from 1990),-1.977556993,0.470119482,2.565323095,40.93590307,-0.644129864,-23.8810033,-20.46790833,-0.895417782,1.14215287,22.488853,48.5758817,0.925775718,68.3154557,-4.5666217,-24.54474128,80.6889399,83.8515352,86.11633574,,,,,,
CO2 emissions from solid fuel consumption (% of total),18.3866265,17.83704679,16.93663955,16.02956734,16.03931309,16.39108069,15.84833427,15.38896401,16.93209245,16.6729768,15.98009168,15.6504635,15.74477441,15.04892815,12.68288858,14.71944661,15.38290324,13.93307398,14.25684277,14.53616224,15.51543555,15.23359643,,
CO2 emissions (metric tons per capita),1.47558032,1.580429707,1.669151566,1.698961255,1.734776942,1.783495567,1.792136406,1.760670691,1.701862927,1.778455801,1.775667754,1.777453569,1.847997738,1.93919921,1.799323515,2.026600029,2.110701416,2.271403237,2.413423219,2.514601766,2.365340621,2.161272835,2.18934835,2.064980862
CO2 emissions (kg per 2015 US$ of GDP),0.226158983,0.240649153,0.249529049,0.256873833,0.264801532,0.26438349,0.265506028,0.256332293,0.247897732,0.247752518,0.24238179,0.235907015,0.233632913,0.235593881,0.220971897,0.233643225,0.236220859,0.25166997,0.261869106,0.273818236,0.269302034,0.25647448,0.258453674,0.241408786
Energy use (kg of oil equivalent per capita),985.1965132,1021.838339,1057.725222,1067.312659,1076.112399,1065.773693,1070.140587,1084.675901,1089.510544,1137.069278,1152.75657,1180.04792,1234.198706,1290.167819,1236.153983,1354.075465,1362.560782,1408.852528,1456.109047,1490.425846,,,,
Fossil fuel energy consumption (% of total),54.60825221,56.26743393,56.68118402,57.34050814,57.28867439,58.23206392,58.94968977,57.15399761,54.64132844,54.6982243,54.25232116,53.42289188,52.66064026,52.56946061,51.31850799,53.48790284,54.56870942,56.54889227,58.01808225,59.10753264,,,,
GDP per unit of energy use (PPP $ per kg of oil equivalent),8.128387406,8.032796654,8.040539552,7.967391575,7.937563711,8.439636973,8.599689231,8.768355478,8.897165371,9.15321481,9.503186145,9.842395672,10.14627214,10.29406732,10.69668428,10.52712359,11.00072598,10.64294749,10.66934087,10.51028589,,,,
Renewable electricity output (% of total electricity output),94.1574958,93.56113404,92.97783637,92.92334373,90.03692683,89.49270586,84.28744505,85.738173,87.16360313,86.03211228,87.12462751,86.74765165,88.21467965,84.26642365,88.99577577,84.72423388,87.120997,82.4482831,76.68920812,73.08207385,73.96690805,,,
Electric power transmission and distribution losses (% of output),16.74449657,17.20589952,17.45589028,16.82123898,17.60417787,17.65756212,17.23793637,16.74395596,16.26809098,16.74835399,16.59417467,16.82417721,16.14096018,16.64575537,17.1869536,16.62585192,16.45939781,17.07616752,16.63380588,15.77479764,,,,
Access to electricity (% of population),91.728598,92.867095,93.354139,94.193812,94.76296,94.391716,96.01652527,96.65299225,96.98009491,96.7651062,97.09351349,97.59431458,98.12538147,98.52662659,98.85694122,98.59999847,99.32868958,99.5194931,99.57514954,99.65024567,99.71089935,99.69999695,99.80000305,99.69999695
Access to clean fuels and technologies for cooking (% of population),,,,,,89,89.7,90.1,90.6,91.1,91.6,92.1,92.6,93.1,93.6,94,94.3,94.7,95,95.2,95.4,95.7,95.7,95.8
"Multilateral debt service (TDS, current US$)",2495677000,2259054000,2087981000,2067882000,4214480000,5780805000,2566289290,3387851771,4737385000,4318970000,2626304000,2530959000,2897571000,2886074134,3793045698,2601758666,8370581586,2170866404,4454948493,2012789283,2321560723,2541166587,2890502383,3274199900
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",23.64971872,22.59868685,20.70944668,27.32056121,41.83371594,36.66479125,22.64797403,36.93937775,39.18224652,23.35685761,29.91964139,19.49905379,10.86230433,9.33180678,7.119012459,5.936336129,6.7574196,4.058592204,7.137971509,5.482629652,12.75763731,10.64704188,10.85126293,11.84067039
"Debt service on external debt, total (TDS, current US$)",21634576207,25280051262,38614181184,51426174584,68188712489,58586704284,50070244251,52046584758,58350696521,53764235118,62905830413,62246189478,55009017279,56543249819,44526664672,45881467062,59070172415,45540111884,82014387866,62250211467,89845404199,1.17495E+11,95434116477,95526809336
Net official development assistance received (constant 2020 US$),286640014.6,306070007.3,299329986.6,334890014.6,129740005.5,305410003.7,369100006.1,315500000,266940002.4,188059997.6,238330001.8,110970001.2,320339996.3,441309997.6,363600006.1,468130004.9,748049987.8,1232000000,888469970.7,827890014.6,1067939941,721099975.6,282049987.8,432450012.2
Net official aid received (constant 2020 US$),,,,,,,,,,,,,,,,,,,,,,,,
"Net official flows from UN agencies, WHO (current US$)",,,,,,,,,,,,,,,,,,,,,,,625539.422,2593201.876
"International migrant stock, total",741557,,,,,684596,,,,,638582,,,,,592568,,,,,713568,,,
"Children in employment, wage workers (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,28.07,,31.19,27.52437923,27.5,,,
"Unemployment, total (% of total labor force) (national estimate)",7.090000153,8.029999733,9,10.14999962,11.13000011,,10.64999962,10.64000034,11.17000008,10.06999969,10.55000019,9.68999958,9.279999733,8.270000458,9.420000076,,7.579999924,7.25,7.070000172,6.760000229,8.539999962,11.57999992,12.78999996,12.32999992
"Unemployment, female (% of female labor force) (national estimate)",9.020000458,10.64000034,12.02999973,13.59000015,14.57999992,,13.67000008,13.60999966,14.18999958,13.25,13.89000034,12.69999981,12.40999985,11.17000008,12.57999992,,10.35000038,9.220000267,8.960000038,8.31000042,10.28999996,13.57999992,14.85999966,14.39000034
